Study,Plot,TRT,GT,Wh,Pop,Rep,RXA,SXA,CXA,CSR,CF,CCS,Num,Dens,Perim,Pmdiff,AA,AAP,MXN,MXA,MXP,MXM,MXL,MXW,Lwmax,Lwrat,ECC,JSM,J_max,J_med,CDM,CD24med,AvgCDiam,MaxCD,HYP,OUT,CD35avg,INN
PA16,132,HN,44,6,Hybrid,F1,9.4568,3.599113253,5.857686747,1.6275361,NA,NA,NA,NA,9.8542398,12.93474485,0.045204819,0.771717936,35,0.362769532,10.0794142,10590.77781,121.9428916,114.2991566,163.1807229,1.099670342,0.416002575,1.70E-07,1.22E-08,4.45E-09,42.16686747,18.86331325,76.68813253,68.62650602,28.07795181,14.52939759,21.1298996,38.62114458
PA16,215,HN,12,6,Hybrid,F2,10.99462313,3.100340816,7.894282313,2.546262744,NA,NA,NA,NA,10.0176946,0.575487298,0,0,32,0.242882627,7.834062156,7856.81391,99.54959184,97.57197279,133.847619,1.070001597,0.355703652,8.40E-08,6.38E-09,2.53E-09,34.01360544,15.60571429,57.20911565,60.43333333,17.66721088,14.33292517,15.03562358,41.94972789
PA16,430,LN,12,6,Hybrid,F2,9.929719728,4.221079592,5.708640136,1.352412342,NA,NA,NA,NA,9.4105303,9.996962229,0.003679592,0.064456539,38,0.315780849,7.481044645,8922.842661,108.6165306,107.2131293,135.9938776,1.068240013,0.351678033,1.25E-07,7.91E-09,3.30E-09,34.65986395,14.27612245,61.6085034,61.96081633,24.09129252,14.58095238,15.91002268,42.2029932
PA16,104,HN,38,5,Hybrid,F1,7.044212048,2.091431928,4.95278012,2.368128771,21.5,1771.973675,NA,NA,8.3391975,5.396937332,0,0,31,0.249261318,11.9182133,8738.838955,116.2884337,98.0873494,137.0108434,1.171777143,0.521249071,8.75E-08,5.48E-09,3.04E-09,35.66843373,19.93427711,77.08614458,64.5173494,24.52096386,20.1776506,19.24787149,34.87481928
PA16,109,HN,37,5,Hybrid,F1,9.753484337,3.254862651,6.498621687,1.996588607,20.5,2167.846386,NA,NA,9.8767305,8.503947741,0,0,31,0.221053862,6.791495842,7096.243439,104.2568675,87.3473494,139.9459036,1.167248361,0.515788915,7.17E-08,7.74E-09,2.09E-09,38.18421687,22.3903012,90.78222892,70.16975904,22.52024096,22.82439759,23.05327309,37.40819277
PA16,117,HN,26,5,Hybrid,F1,8.83813012,3.632453012,5.205677108,1.433102394,19.5,1705.806581,NA,NA,9.5319293,15.14787308,0,0,30,0.231053856,6.360821603,7793.961082,102.9374096,101.003253,123.8563855,1.074785358,0.366376252,7.85E-08,5.03E-09,2.51E-09,38.04253012,21.86975904,80.13807229,59.23253012,18.74921687,13.64403614,22.33678715,40.31933735
PA16,118,HN,6,5,Hybrid,F1,4.434583133,1.673398193,2.76118494,1.650046565,13.5,1821.404367,NA,NA,6.6578328,11.52515803,0,0,32,0.219273878,13.10350873,6643.256562,97.09789157,89.01536145,146.6428916,1.119879278,0.450137072,6.88E-08,7.56E-09,1.82E-09,39.57283133,22.38722892,112.9628916,63.25012048,33.99379518,21.56240964,30.96975904,38.22759036
PA16,132,HN,44,5,Hybrid,F1,3.285243976,1.300315663,1.984928313,1.526497273,13,1229.86887,NA,NA,5.7440691,13.05238182,0.001761446,0.088741028,29,0.174570493,13.42523961,6154.483319,94.57457831,79.54638554,160.200241,1.181559048,0.532643958,4.66E-08,4.61E-09,1.34E-09,34.93650602,28.55307229,126.9293976,46.35036145,37.63259036,23.65451807,34.88,24.61325301
PA16,139,HN,42,5,Hybrid,F1,9.4456,3.443325301,6.002274699,1.743162256,21.5,1638.685934,NA,NA,9.844159,11.77650753,0,0,28,0.302433971,8.783194875,10443.195,119.6691566,113.6074096,NA,1.060965943,0.334073983,1.52E-07,2.54E-08,4.44E-09,34.15301205,19.0723494,85.00656627,64.75710843,24.31361446,19.43126506,21.9512249,37.27271084
PA16,144,HN,28,5,Hybrid,F1,9.326255422,3.259392771,6.066862651,1.86134752,19.5,1975.564759,NA,NA,9.6689584,9.695930545,0,0,36,0.284941122,8.742153583,7854.080699,106.543012,95.72012048,137.6872289,1.126269728,0.460028166,9.98E-08,7.63E-09,2.54E-09,43.00373494,22.41246988,94.18156627,70.04554217,21.8210241,20.93951807,24.78,35.47048193
PA16,201,HN,31,5,Hybrid,F2,9.087379592,3.766421769,5.320957823,1.412735522,18,1490.759643,NA,NA,9.1150638,10.29015063,0,0,30,0.260378431,6.913151188,9013.578827,109.8559184,105.7356463,169.2552381,1.066459957,0.347422627,1.01E-07,1.16E-08,3.27E-09,41.45755102,23.58068027,92.21265306,59.32040816,21.9244898,18.67965986,24.66643991,43.44190476
PA16,202,HN,11,5,Hybrid,F2,8.160801802,2.524756757,5.636045045,2.232312095,21.5,2008.991413,NA,NA,9.4884605,11.30555801,0.112351351,1.993443105,29,0.230363291,9.124177606,7772.609734,105.5439189,93.24436937,140.2920045,1.097431014,0.411922225,8.33E-08,7.08E-09,2.50E-09,33.80259009,17.80433559,67.92134009,69.96497748,17.97933559,17.82190315,16.92479354,33.26593468
