"","kr","model_type","rmse","nrrmse","rsquare","seed"
"1","kr_1","svm",7.75891344774475e-05,2.38803814291696,0.970870279010846,35707
"2","kr_1","rf",0.000104450074781094,3.21476408117791,0.9503733674078,35707
"3","kr_2","svm",7.22260708764518e-05,2.68867941693482,0.977989382054807,12903
"4","kr_2","rf",8.73311090475895e-05,3.25097783258897,0.965500627449196,12903
"5","kr_3","svm",6.57691302014884e-05,2.85443183042635,0.977411016849714,308627
"6","kr_3","rf",6.67687191055524e-05,2.89781477279399,0.975779158949689,308627
"7","kr_1","svm",8.50048602836914e-05,2.17750028525935,0.971971106355163,55329
"8","kr_1","rf",0.0001163402157176,2.98019256859846,0.951017899875803,55329
"9","kr_2","svm",7.47721151545515e-05,2.76324633721928,0.977326467752061,128305
"10","kr_2","rf",8.60982682644306e-05,3.18181081183616,0.968862525923692,128305
"11","kr_3","svm",6.72715067937031e-05,2.79068286305597,0.976263753707315,457468
"12","kr_3","rf",7.56682462364087e-05,3.13901216301002,0.97010037860991,457468
"13","kr_1","svm",9.40934434110765e-05,2.60301711716956,0.962957698606913,167228
"14","kr_1","rf",0.000117457242153931,3.24935724295346,0.947135027855336,167228
"15","kr_2","svm",7.59629395395468e-05,2.54991684889543,0.976845683583291,45596
"16","kr_2","rf",8.59522630865479e-05,2.88523752732053,0.967865562554308,45596
"17","kr_3","svm",6.61772123557531e-05,2.93013445161533,0.974389700799696,80266
"18","kr_3","rf",6.85768152320637e-05,3.03638188646155,0.970967724076666,80266
"19","kr_1","svm",8.01562794843641e-05,2.04536889597012,0.975995828260551,504476
"20","kr_1","rf",0.000108556895108351,2.77007488528736,0.962325900235672,504476
"21","kr_2","svm",7.32964338921425e-05,2.45254100062172,0.981234019524469,222142
"22","kr_2","rf",8.64724278734954e-05,2.89341736727776,0.97110466892571,222142
"23","kr_3","svm",6.83809923980057e-05,3.1778769911188,0.976183095550796,304427
"24","kr_3","rf",7.34570168605161e-05,3.41377560534012,0.971490406999256,304427
"25","kr_1","svm",7.79336812726766e-05,1.9936876895494,0.976562555354561,536663
"26","kr_1","rf",0.000113537404779891,2.90449677875561,0.956345198994422,536663
"27","kr_2","svm",6.72071169326104e-05,2.38321484054703,0.984358123220941,170280
"28","kr_2","rf",7.95379222262853e-05,2.82047445698391,0.975811226489911,170280
"29","kr_3","svm",5.63535674084467e-05,2.30581787856853,0.98331844170436,209900
"30","kr_3","rf",6.302093499145e-05,2.57862643502511,0.976883142150983,209900
"31","kr_1","svm",7.15135595968418e-05,2.0287594567176,0.978246453032555,144306
"32","kr_1","rf",9.68825884160378e-05,2.74845034352052,0.963309169058097,144306
"33","kr_2","svm",6.38059758126724e-05,2.19584066262934,0.984985350477723,378264
"34","kr_2","rf",8.62811009526953e-05,2.96930730194595,0.97150294191705,378264
"35","kr_3","svm",5.95845644108991e-05,2.51620716716049,0.981442139686488,319898
"36","kr_3","rf",6.3103546066328e-05,2.66481086931119,0.97855762364091,319898
"37","kr_1","svm",8.96433342379862e-05,2.46421305945511,0.964799734761903,350390
"38","kr_1","rf",0.000114135228230577,3.13747276738953,0.945848727275892,350390
"39","kr_2","svm",7.10046906090852e-05,2.53142793930132,0.981825693420693,24754
"40","kr_2","rf",8.63789249989874e-05,3.07954336866404,0.97048250534889,24754
"41","kr_3","svm",5.74304438346638e-05,2.33859639678472,0.981755595037789,56278
"42","kr_3","rf",6.50589403736063e-05,2.6492325912431,0.975060259228695,56278
"43","kr_1","svm",8.77918953449502e-05,2.24020891703004,0.972064813328417,81187
"44","kr_1","rf",0.000118382877143483,3.02080705694385,0.952786314946496,81187
"45","kr_2","svm",6.81469330366826e-05,2.50104382054937,0.981714895042251,404428
"46","kr_2","rf",8.84382012413227e-05,3.24574866188107,0.965877780154855,404428
"47","kr_3","svm",6.68828644784744e-05,2.96337284418007,0.978136973706483,582065
"48","kr_3","rf",7.89374054048762e-05,3.49747226574197,0.971373448507155,582065
"49","kr_1","svm",7.45193163866992e-05,1.90890064577284,0.97900203860694,47872
"50","kr_1","rf",0.000112033654210923,2.86987488937423,0.955783965432915,47872
"51","kr_2","svm",7.06187242921317e-05,2.50053085534666,0.982835405141278,396154
"52","kr_2","rf",8.86081613660984e-05,3.13751690861614,0.969897735261312,396154
"53","kr_3","svm",5.50604556847573e-05,2.57376972151376,0.984457912747717,80525
"54","kr_3","rf",6.22792392341018e-05,2.91120765758605,0.978056753618532,80525
"55","kr_1","svm",8.02348570788225e-05,2.22316743385169,0.97751969859905,480061
"56","kr_1","rf",0.000116767456520304,3.23542181192656,0.954122985364868,480061
"57","kr_2","svm",7.23070767603947e-05,2.74698508477808,0.980679544876872,544696
"58","kr_2","rf",8.63301399937995e-05,3.27972886686612,0.973151511995394,544696
"59","kr_3","svm",6.05387186267937e-05,2.80153857140132,0.979847799939305,85613
"60","kr_3","rf",6.42754905432672e-05,2.97446444254615,0.976034238680793,85613
