 ******* Program HYDRUS
 ******* 
 Root water uptake in a soil profile                                     
 Date:   7.10.2021    Time:  16:18: 9
 Units: L = cm   , T = days , M = mmol 



                               Node(  1)                      Node(  9)

         time            h        theta    Flux           h        theta    Flux  
          0.0010     -300.49  0.3487 -0.696E-05       -300.19  0.3487 -0.322E-02
          0.0023     -301.00  0.3487  0.271E-05       -300.54  0.3487 -0.316E-02
          0.0040     -301.76  0.3486 -0.317E-05       -300.90  0.3487 -0.309E-02
          0.0062     -302.69  0.3486  0.916E-06       -301.42  0.3486 -0.301E-02
          0.0090     -303.92  0.3485  0.254E-05       -302.07  0.3486 -0.290E-02
          0.0128     -305.51  0.3484  0.343E-06       -302.92  0.3485 -0.276E-02
          0.0176     -307.92  0.3482  0.660E-06       -304.02  0.3485 -0.259E-02
          0.0239     -310.94  0.3481  0.240E-05       -305.48  0.3484 -0.228E-02
          0.0320     -314.86  0.3479  0.805E-06       -307.74  0.3483 -0.191E-02
          0.0426     -319.84  0.3476  0.268E-07       -310.61  0.3481 -0.151E-02
          0.0564     -326.22  0.3472 -0.400E-06       -314.40  0.3479 -0.995E-03
          0.0743     -334.36  0.3468  0.706E-06       -319.31  0.3476 -0.370E-03
          0.0976     -344.75  0.3462  0.245E-06       -325.71  0.3473  0.398E-03
          0.1279     -358.02  0.3455  0.446E-06       -334.03  0.3468  0.131E-02
          0.1673     -374.96  0.3446  0.391E-06       -344.86  0.3462  0.237E-02
          0.2185     -398.62  0.3434 -0.405E-07       -358.94  0.3455  0.351E-02
          0.2850     -431.51  0.3419  0.151E-06       -377.37  0.3445  0.483E-02
          0.3744     -474.14  0.3400  0.885E-07       -405.91  0.3431  0.744E-02
          0.4787     -530.79  0.3378 -0.102E-06       -440.45  0.3415  0.815E-02
          0.6090     -601.41  0.3352 -0.806E-07       -485.13  0.3395  0.960E-02
          0.8045     -725.11  0.3315  0.747E-07       -564.73  0.3366  0.105E-01
          1.0000     -853.31  0.3281 -0.527E-07       -652.46  0.3336  0.111E-01
          1.2500    -1032.99  0.3241  0.346E-07       -784.82  0.3298  0.994E-02
          1.6250    -1339.37  0.3187  0.300E-07      -1036.83  0.3241  0.838E-02
          2.0000    -1646.64  0.3143  0.315E-07      -1359.92  0.3184  0.570E-02
          2.5000    -2139.32  0.3089  0.611E-09      -1900.70  0.3113  0.249E-02
          3.0000    -2710.67  0.3040 -0.257E-07      -2566.90  0.3051  0.971E-03
          3.5000    -3508.67  0.2988 -0.195E-07      -3296.29  0.3000  0.206E-03
          4.0000    -4303.82  0.2946 -0.188E-07      -4322.46  0.2946  0.354E-03
          5.0000    -9335.41  0.2796  0.175E-09      -6553.27  0.2863 -0.473E-03
          5.3333    -2702.51  0.3041 -0.456E-07     -11829.01  0.2750  0.940E-03
          5.4074    -9048.63  0.2802  0.150E-06      -8642.83  0.2811 -0.967E-03
          5.4815    -9270.14  0.2797 -0.204E-06      -9173.92  0.2799  0.756E-04
          5.5556    -9583.37  0.2791 -0.725E-07      -9449.21  0.2793  0.378E-04
          5.6296   -10000.00  0.2782 -0.121E-02      -9852.83  0.2785  0.242E-04
          5.7222   -10000.00  0.2782 -0.817E-02     -10238.02  0.2777  0.242E-04
          5.8611   -10000.00  0.2782 -0.326E-01     -11214.15  0.2761  0.340E-04
          6.0000   -10000.00  0.2782 -0.628E-01     -10000.00  0.2782 -0.498E-03
          6.1250   -10000.00  0.2782 -0.994E-01     -15027.56  0.2707  0.545E-03
          6.2125   -10000.00  0.2782 -0.134E+00     -10000.00  0.2782 -0.124E-03
          6.2738   -10000.00  0.2782 -0.170E+00     -14206.41  0.2717  0.179E-03
          6.3168   -10000.00  0.2782 -0.126E+00     -10000.00  0.2782 -0.189E-05
          6.3597   -10000.00  0.2782 -0.747E-01     -11054.63  0.2763  0.691E-04
          6.4027   -10000.00  0.2782 -0.794E-01     -11447.57  0.2756  0.395E-04
          6.4585   -10000.00  0.2782 -0.915E-01     -11839.07  0.2750  0.208E-04
          6.5126   -10000.00  0.2782 -0.106E+00     -12059.32  0.2747  0.114E-04
          6.5823   -10000.00  0.2782 -0.115E+00     -12377.56  0.2742  0.118E-04
          6.6519   -10000.00  0.2782 -0.135E+00     -12709.45  0.2737  0.112E-04
          6.7215   -10000.00  0.2782 -0.150E+00     -13125.53  0.2731  0.136E-04
          6.7911   -10000.00  0.2782 -0.170E+00     -13356.00  0.2728  0.316E-05
          6.8608   -10000.00  0.2782 -0.169E+00     -13449.30  0.2727  0.238E-05
          6.9072   -10000.00  0.2782 -0.196E+00     -13846.04  0.2721  0.154E-04
          6.9536   -10000.00  0.2782 -0.178E+00     -10000.00  0.2782 -0.189E-05
          7.0000   -10000.00  0.2782 -0.104E+00     -11605.63  0.2754  0.984E-04
          7.0508   -10000.00  0.2782 -0.105E+00     -12095.81  0.2746  0.295E-04
          7.1016   -10000.00  0.2782 -0.114E+00     -12216.52  0.2744  0.734E-05
          7.1676   -10000.00  0.2782 -0.118E+00     -12376.87  0.2742  0.549E-05
          7.2337   -10000.00  0.2782 -0.134E+00     -12674.86  0.2738  0.124E-04
          7.2997   -10000.00  0.2782 -0.144E+00     -12944.32  0.2734  0.782E-05
          7.3657   -10000.00  0.2782 -0.161E+00     -13195.79  0.2730  0.789E-05
          7.4292   -10000.00  0.2782 -0.171E+00     -13502.41  0.2726  0.985E-05
          7.4926   -10000.00  0.2782 -0.184E+00     -13583.01  0.2725 -0.622E-06
          7.5560   -10000.00  0.2782 -0.190E+00     -13878.91  0.2721  0.117E-04
          7.6194   -10000.00  0.2782 -0.206E+00     -14058.83  0.2719  0.153E-05
          7.6829   -10000.00  0.2782 -0.211E+00     -14319.24  0.2715  0.888E-05
          7.7463   -10000.00  0.2782 -0.225E+00     -14371.92  0.2715 -0.536E-05
          7.8097   -10000.00  0.2782 -0.212E+00     -10000.00  0.2782 -0.189E-05
          7.8731   -10000.00  0.2782 -0.167E+00     -13921.73  0.2721  0.164E-03
          7.9154   -10000.00  0.2782 -0.166E+00     -10000.00  0.2782 -0.189E-05
          7.9577   -10000.00  0.2782 -0.110E+00     -11571.37  0.2754  0.936E-04
          8.0000   -10000.00  0.2782 -0.966E-01     -11842.56  0.2750  0.359E-04
          8.0601   -10000.00  0.2782 -0.982E-01     -11916.60  0.2749 -0.632E-06
          8.1202   -10000.00  0.2782 -0.111E+00     -12264.05  0.2744  0.189E-04
          8.1983   -10000.00  0.2782 -0.119E+00     -12308.24  0.2743 -0.894E-03
          8.2764   -10000.00  0.2782 -0.128E+00     -12764.46  0.2736  0.380E-03
          8.3545   -10000.00  0.2782 -0.156E+00     -13095.27  0.2732 -0.114E-02
          8.4327   -10000.00  0.2782 -0.162E+00     -13669.23  0.2724  0.490E-03
          8.4873   -10000.00  0.2782 -0.198E+00     -13882.36  0.2721 -0.136E-02
          8.5256   -10000.00  0.2782 -0.169E+00     -10000.00  0.2782  0.957E-03
          8.5639   -10000.00  0.2782 -0.111E+00     -11411.74  0.2757 -0.535E-03
          8.6022   -10000.00  0.2782 -0.913E-01     -11706.32  0.2752 -0.873E-04
          8.6519   -10000.00  0.2782 -0.994E-01     -11926.32  0.2749 -0.164E-04
          8.7017   -10000.00  0.2782 -0.113E+00     -12242.45  0.2744  0.142E-04
          8.7664   -10000.00  0.2782 -0.119E+00     -12310.62  0.2743  0.181E-06
          8.8311   -10000.00  0.2782 -0.120E+00     -12406.75  0.2742  0.451E-05
          8.8958   -10000.00  0.2782 -0.141E+00     -12847.70  0.2735  0.191E-04
          8.9605   -10000.00  0.2782 -0.139E+00     -10000.00  0.2782 -0.189E-05
          9.0252   -10000.00  0.2782 -0.118E+00     -12695.41  0.2737  0.143E-03
          9.0899   -10000.00  0.2782 -0.125E+00     -10000.00  0.2782 -0.948E-03
          9.1545   -10000.00  0.2782 -0.123E+00     -12792.65  0.2736  0.111E-02
          9.2192   -10000.00  0.2782 -0.118E+00     -10000.00  0.2782 -0.945E-03
          9.2839   -10000.00  0.2782 -0.115E+00     -12597.57  0.2739  0.105E-02
          9.3486   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.900E-03
          9.4138   -10000.00  0.2782 -0.110E+00     -12489.48  0.2740  0.101E-02
          9.4789   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.918E-03
          9.5440   -10000.00  0.2782 -0.112E+00     -12529.36  0.2740  0.103E-02
          9.6092   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.885E-03
          9.6743   -10000.00  0.2782 -0.108E+00     -12436.16  0.2741  0.996E-03
          9.7394   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.903E-03
          9.8046   -10000.00  0.2782 -0.110E+00     -12484.92  0.2740  0.101E-02
          9.8697   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.873E-03
          9.9349   -10000.00  0.2782 -0.107E+00     -12403.48  0.2741  0.985E-03
         10.0000   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.894E-03
         10.0647   -10000.00  0.2782 -0.109E+00     -12441.41  0.2741  0.998E-03
         10.1294   -10000.00  0.2782 -0.106E+00     -10000.00  0.2782 -0.858E-03
         10.1941   -10000.00  0.2782 -0.105E+00     -12347.95  0.2742  0.966E-03
         10.2588   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.876E-03
         10.3235   -10000.00  0.2782 -0.107E+00     -12395.49  0.2742  0.982E-03
         10.3881   -10000.00  0.2782 -0.105E+00     -10000.00  0.2782 -0.847E-03
         10.4528   -10000.00  0.2782 -0.104E+00     -12317.79  0.2743  0.956E-03
         10.5175   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.868E-03
         10.5822   -10000.00  0.2782 -0.106E+00     -12373.95  0.2742  0.975E-03
         10.6469   -10000.00  0.2782 -0.104E+00     -10000.00  0.2782 -0.842E-03
         10.7116   -10000.00  0.2782 -0.104E+00     -12303.80  0.2743  0.951E-03
         10.7763   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.864E-03
         10.8410   -10000.00  0.2782 -0.106E+00     -12364.76  0.2742  0.972E-03
         10.9057   -10000.00  0.2782 -0.104E+00     -10000.00  0.2782 -0.840E-03
         10.9704   -10000.00  0.2782 -0.103E+00     -12298.87  0.2743  0.949E-03
         11.0351   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.863E-03
         11.0997   -10000.00  0.2782 -0.106E+00     -12362.72  0.2742  0.971E-03
         11.1644   -10000.00  0.2782 -0.104E+00     -10000.00  0.2782 -0.839E-03
         11.2291   -10000.00  0.2782 -0.103E+00     -12299.13  0.2743  0.949E-03
         11.2938   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.863E-03
         11.3585   -10000.00  0.2782 -0.106E+00     -12364.63  0.2742  0.972E-03
         11.4227   -10000.00  0.2782 -0.104E+00     -10000.00  0.2782 -0.834E-03
         11.4868   -10000.00  0.2782 -0.103E+00     -12267.90  0.2743  0.939E-03
         11.5510   -10000.00  0.2782 -0.106E+00     -10000.00  0.2782 -0.842E-03
         11.6151   -10000.00  0.2782 -0.105E+00     -12327.18  0.2743  0.950E-03
         11.6793   -10000.00  0.2782 -0.103E+00     -10000.00  0.2782 -0.827E-03
         11.7434   -10000.00  0.2782 -0.102E+00     -12241.13  0.2744  0.929E-03
         11.8076   -10000.00  0.2782 -0.105E+00     -10000.00  0.2782 -0.836E-03
         11.8717   -10000.00  0.2782 -0.105E+00     -12308.57  0.2743  0.944E-03
         11.9359   -10000.00  0.2782 -0.102E+00     -10000.00  0.2782 -0.814E-03
         12.0000   -10000.00  0.2782 -0.102E+00     -12242.08  0.2744  0.921E-03
         12.0647   -10000.00  0.2782 -0.105E+00     -10000.00  0.2782 -0.842E-03
         12.1294   -10000.00  0.2782 -0.105E+00     -12335.41  0.2742  0.953E-03
         12.1941   -10000.00  0.2782 -0.103E+00     -10000.00  0.2782 -0.834E-03
         12.2588   -10000.00  0.2782 -0.103E+00     -12277.79  0.2743  0.942E-03
         12.3235   -10000.00  0.2782 -0.106E+00     -10000.00  0.2782 -0.850E-03
         12.3881   -10000.00  0.2782 -0.106E+00     -12366.70  0.2742  0.963E-03
         12.4528   -10000.00  0.2782 -0.104E+00     -10000.00  0.2782 -0.842E-03
         12.5175   -10000.00  0.2782 -0.103E+00     -12297.46  0.2743  0.949E-03
         12.5822   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.864E-03
         12.6469   -10000.00  0.2782 -0.106E+00     -12371.42  0.2742  0.974E-03
         12.7116   -10000.00  0.2782 -0.104E+00     -10000.00  0.2782 -0.843E-03
         12.7763   -10000.00  0.2782 -0.104E+00     -12314.23  0.2743  0.955E-03
         12.8410   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.869E-03
         12.9057   -10000.00  0.2782 -0.107E+00     -12385.04  0.2742  0.979E-03
         12.9704   -10000.00  0.2782 -0.105E+00     -10000.00  0.2782 -0.847E-03
         13.0351   -10000.00  0.2782 -0.105E+00     -12325.54  0.2743  0.958E-03
         13.0997   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.872E-03
         13.1644   -10000.00  0.2782 -0.107E+00     -12395.28  0.2742  0.982E-03
         13.2291   -10000.00  0.2782 -0.105E+00     -10000.00  0.2782 -0.850E-03
         13.2938   -10000.00  0.2782 -0.105E+00     -12334.40  0.2742  0.961E-03
         13.3585   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.875E-03
         13.4227   -10000.00  0.2782 -0.108E+00     -12381.37  0.2742  0.977E-03
         13.4868   -10000.00  0.2782 -0.105E+00     -10000.00  0.2782 -0.841E-03
         13.5510   -10000.00  0.2782 -0.104E+00     -12296.38  0.2743  0.948E-03
         13.6151   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.860E-03
         13.6793   -10000.00  0.2782 -0.106E+00     -12348.69  0.2742  0.966E-03
         13.7434   -10000.00  0.2782 -0.104E+00     -10000.00  0.2782 -0.834E-03
         13.8076   -10000.00  0.2782 -0.103E+00     -12276.10  0.2743  0.941E-03
         13.8717   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.847E-03
         13.9359   -10000.00  0.2782 -0.106E+00     -12346.39  0.2742  0.956E-03
         14.0000   -10000.00  0.2782 -0.104E+00     -10000.00  0.2782 -0.834E-03
         14.0647   -10000.00  0.2782 -0.103E+00     -12287.25  0.2743  0.945E-03
         14.1294   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.855E-03
         14.1941   -10000.00  0.2782 -0.107E+00     -12385.39  0.2742  0.970E-03
         14.2588   -10000.00  0.2782 -0.105E+00     -10000.00  0.2782 -0.848E-03
         14.3235   -10000.00  0.2782 -0.104E+00     -12319.73  0.2743  0.956E-03
         14.3881   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.872E-03
         14.4528   -10000.00  0.2782 -0.107E+00     -12397.33  0.2742  0.983E-03
         14.5175   -10000.00  0.2782 -0.105E+00     -10000.00  0.2782 -0.851E-03
         14.5822   -10000.00  0.2782 -0.105E+00     -12341.37  0.2742  0.964E-03
         14.6469   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.878E-03
         14.7116   -10000.00  0.2782 -0.108E+00     -12414.31  0.2741  0.989E-03
         14.7763   -10000.00  0.2782 -0.106E+00     -10000.00  0.2782 -0.856E-03
         14.8410   -10000.00  0.2782 -0.106E+00     -12354.85  0.2742  0.968E-03
         14.9057   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.881E-03
         14.9704   -10000.00  0.2782 -0.108E+00     -12426.06  0.2741  0.993E-03
         15.0351   -10000.00  0.2782 -0.106E+00     -10000.00  0.2782 -0.859E-03
         15.0997   -10000.00  0.2782 -0.106E+00     -12364.68  0.2742  0.972E-03
         15.1644   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.884E-03
         15.2291   -10000.00  0.2782 -0.109E+00     -12434.97  0.2741  0.996E-03
         15.2938   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.861E-03
         15.3585   -10000.00  0.2782 -0.106E+00     -12372.38  0.2742  0.974E-03
         15.4227   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.880E-03
         15.4868   -10000.00  0.2782 -0.109E+00     -12406.27  0.2741  0.986E-03
         15.5510   -10000.00  0.2782 -0.106E+00     -10000.00  0.2782 -0.849E-03
         15.6151   -10000.00  0.2782 -0.105E+00     -12324.21  0.2743  0.958E-03
         15.6793   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.869E-03
         15.7434   -10000.00  0.2782 -0.107E+00     -12378.75  0.2742  0.976E-03
