 ******* Program HYDRUS
 ******* 
 Root water uptake in a soil profile                                     
 Date:   7.10.2021    Time:  16:18: 9
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    2        2    -4    -5     T
        2  0.2300000E-02  0.13000E-02    2        4    -4    -5     T
        3  0.3990000E-02  0.16900E-02    2        6    -4    -5     T
        4  0.6187000E-02  0.21970E-02    2        8    -4    -5     T
        5  0.9043100E-02  0.28561E-02    2       10    -4    -5     T
        6  0.1275603E-01  0.37129E-02    2       12    -4    -5     T
        7  0.1758284E-01  0.48268E-02    2       14    -4    -5     T
        8  0.2385769E-01  0.62749E-02    2       16    -4    -5     T
        9  0.3201499E-01  0.81573E-02    2       18    -4    -5     T
       10  0.4261949E-01  0.10604E-01    2       20    -4    -5     T
       11  0.5640534E-01  0.13786E-01    2       22    -4    -5     T
       12  0.7432693E-01  0.17922E-01    2       24    -4    -5     T
       13  0.9762501E-01  0.23298E-01    2       26    -4    -5     T
       14  0.1279125E+00  0.30287E-01    2       28    -4    -5     T
       15  0.1672863E+00  0.39374E-01    2       30    -4    -5     T
       16  0.2184721E+00  0.51186E-01    2       32    -4    -5     T
       17  0.2850138E+00  0.66542E-01    2       34    -4    -5     T
       18  0.3743870E+00  0.89373E-01    2       36    -4    -5     T
       19  0.4786559E+00  0.10427E+00    2       38    -4    -5     T
       20  0.6089919E+00  0.13034E+00    2       40    -4    -5     T
       21  0.8044959E+00  0.19550E+00    2       42    -4    -5     T
       22  0.1000000E+01  0.19550E+00    2       44    -4    -5     T
       23  0.1250000E+01  0.25000E+00    2       46    -4    -5     T
       24  0.1625000E+01  0.37500E+00    2       48    -4    -5     T
       25  0.2000000E+01  0.37500E+00    2       50    -4    -5     T
       26  0.2500000E+01  0.50000E+00    3       53    -4    -5     T
       27  0.3000000E+01  0.50000E+00    3       56    -4    -5     T
       28  0.3500000E+01  0.50000E+00    3       59    -4    -5     T
       29  0.4000000E+01  0.50000E+00    3       62    -4    -5     T
       30  0.5000000E+01  0.10000E+01    5       67    -4    -5     T
       31  0.5333333E+01  0.33333E+00   10       87    -4    -5     T
       32  0.5407407E+01  0.74074E-01    5      102    -4    -5     T
       33  0.5481481E+01  0.74074E-01    6      108    -4    -5     T
       34  0.5555556E+01  0.74074E-01    4      112    -4    -5     T
       35  0.5629630E+01  0.74074E-01    2      114     4    -5     T
       36  0.5722222E+01  0.92593E-01    2      116     4    -5     T
       37  0.5861111E+01  0.13889E+00    2      118     4    -5     T
       38  0.6000000E+01  0.13889E+00    4      122     4    -5     T
       39  0.6125000E+01  0.12500E+00    9      131    -4    -5     T
       40  0.6212500E+01  0.87500E-01    7      138     4    -5     T
       41  0.6273841E+01  0.61341E-01    9      147    -4    -5     T
       42  0.6316779E+01  0.42939E-01    5      152     4    -5     T
       43  0.6359718E+01  0.42939E-01    5      157    -4    -5     T
       44  0.6402656E+01  0.42939E-01    3      160     4    -5     T
       45  0.6458476E+01  0.55820E-01    4      164     4    -5     T
       46  0.6512629E+01  0.54152E-01    3      167    -4    -5     T
       47  0.6582253E+01  0.69624E-01    4      171    -4    -5     T
       48  0.6651878E+01  0.69624E-01    4      175    -4    -5     T
       49  0.6721502E+01  0.69624E-01    6      181    -4    -5     T
       50  0.6791127E+01  0.69624E-01    6      187    -4    -5     T
       51  0.6860751E+01  0.69624E-01    7      194     4    -5     T
       52  0.6907167E+01  0.46416E-01    5      199     4    -5     T
       53  0.6953584E+01  0.46416E-01    6      205     4    -5     T
       54  0.7000000E+01  0.46416E-01    5      210    -4    -5     T
       55  0.7050796E+01  0.50796E-01    5      215     4    -5     T
       56  0.7101593E+01  0.50796E-01    3      218    -4    -5     T
       57  0.7167628E+01  0.66035E-01    5      223     4    -5     T
       58  0.7233663E+01  0.66035E-01    5      228    -4    -5     T
       59  0.7299698E+01  0.66035E-01    5      233     4    -5     T
       60  0.7365733E+01  0.66035E-01    4      237     4    -5     T
       61  0.7429160E+01  0.63427E-01    5      242    -4    -5     T
       62  0.7492586E+01  0.63427E-01    6      248    -4    -5     T
       63  0.7556013E+01  0.63427E-01    5      253     4    -5     T
       64  0.7619440E+01  0.63427E-01    6      259    -4    -5     T
       65  0.7682866E+01  0.63427E-01    6      265    -4    -5     T
       66  0.7746293E+01  0.63427E-01    6      271    -4    -5     T
       67  0.7809720E+01  0.63427E-01    6      277    -4    -5     T
       68  0.7873147E+01  0.63427E-01    7      284     4    -5     T
       69  0.7915431E+01  0.42284E-01    5      289    -4    -5     T
       70  0.7957716E+01  0.42284E-01    6      295    -4    -5     T
       71  0.8000000E+01  0.42284E-01    3      298     4    -5     T
       72  0.8060092E+01  0.60092E-01    5      303    -4    -5     T
       73  0.8120184E+01  0.60092E-01    3      306     4    -5     T
       74  0.8198303E+01  0.78120E-01    5      311    -4    -5     T
       75  0.8276423E+01  0.78120E-01    6      317    -4    -5     T
       76  0.8354543E+01  0.78120E-01    6      323    -4    -5     T
       77  0.8432662E+01  0.78120E-01    7      330     4    -5     T
       78  0.8487346E+01  0.54684E-01    7      337    -4    -5     T
       79  0.8525624E+01  0.38279E-01    6      343    -4    -5     T
       80  0.8563903E+01  0.38279E-01    5      348     4    -5     T
       81  0.8602181E+01  0.38279E-01    3      351    -4    -5     T
       82  0.8651944E+01  0.49762E-01    4      355    -4    -5     T
       83  0.8701706E+01  0.49762E-01    3      358     4    -5     T
