"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","RH2M","T2M","PRECTOT","T2M_MAX","T2M_MIN","ALLSKY_SFC_SW_DWN","CLRSKY_SFC_SW_DWN","PS","WS2M","T2MDEW","Wpot","e_t","e_tmin","e_tmax","e_a","e_s","VPD","delta","gama","gd","GDD","ratio","Rns","Rnl","Rn","ET0","Kc","ET","local"
"1",-3.70343,40.47786,2015,5,15,135,"2015-05-15",45.22,15.35,0,23.17,7.73,29.08,29.26,94.07,4.39,3.53,-105.45816449644,1.74415497256365,1.05320058514808,2.83845510558334,0.78674726232852,1.94582784536571,1.15908058303719,0.111974316301286,0.06255655,5.35,5.35,1,22.3916,3.05399560935588e-07,22.3915996946004,7.52692754861979,0.100000706771166,0.752698074677337,"Madrid, Spain"
"2",-3.70343,40.47786,2015,5,16,136,"2015-05-16",39.15,17.22,0,27.6,7.29,29.51,29.51,94.42,3.81,3.08,-125.41874126086,1.96491038286487,1.02198446885703,3.6927819602923,0.762079497707884,2.35738321457467,1.59530371686678,0.124299926679404,0.0627893,7.22,12.57,1,22.7227,3.10306508312566e-07,22.7226996896935,8.70208413220189,0.100009166881982,0.870288184198426,"Madrid, Spain"
"3",-3.70343,40.47786,2015,5,17,137,"2015-05-17",41.53,19.45,0,29.29,9.46,29.3,29.3,94.07,2.49,5.91,-118.428017347638,2.25984600190913,1.18422862878504,4.0732998019518,0.929298834431227,2.62876421536842,1.69946538093719,0.140484980173275,0.06255655,9.45,22.02,1,22.561,2.94088393282421e-07,22.5609997059116,8.23355793938534,0.100049278766953,0.823761533521427,"Madrid, Spain"
"4",-3.70343,40.47786,2015,5,18,138,"2015-05-18",38.02,21.27,0,30.74,10.47,28.68,29.29,93.32,1.43,6.14,-131.13878193294,2.52855152316242,1.26717689284648,4.42651883301461,0.944211714296905,2.84684786293054,1.90263614863364,0.154984223121223,0.0620578,11.27,33.29,1,22.0836,2.93771422527603e-07,22.0835997062286,7.7375018285382,0.100170265002275,0.775067608620259,"Madrid, Spain"
"5",-3.70343,40.47786,2015,5,19,139,"2015-05-19",46.01,17.8,0.7,24.6,9.22,22.41,29.01,93.15,4.55,5.9,-104.032337790415,2.03817633516618,1.16523518566167,3.09308132952254,0.928655184057023,2.12915825759211,1.20050307353509,0.128349089342002,0.06194475,7.8,41.09,1,17.2557,2.91676786811578e-07,17.2556997083232,6.81810973730478,0.100320156874613,0.683993838434741,"Madrid, Spain"
"6",-3.70343,40.47786,2015,5,20,140,"2015-05-20",43.1,13.52,0,21.46,5.25,29.15,29.68,93.89,3.67,1.17,-111.129583134849,1.54948484155067,0.887651398938563,2.55815002701053,0.664809800925841,1.72290071297455,1.05809091204871,0.100933413019357,0.06243685,3.52,44.61,1,22.4455,3.17269945524599e-07,22.4454996827301,6.98738075158101,0.10040966928361,0.701600590424908,"Madrid, Spain"
"7",-3.70343,40.47786,2015,5,21,141,"2015-05-21",41.19,13.89,0,22.09,6.26,29.99,29.99,94.32,3.27,0.77,-117.265621984119,1.58722913071259,0.952075743258994,2.658469649032,0.645888361735285,1.80527269614549,1.15938433441021,0.103087708933443,0.0627228,3.89,48.5,1,23.0923,3.20483000927271e-07,23.092299679517,7.290466137006,0.100526427891694,0.732884518418569,"Madrid, Spain"
"8",-3.70343,40.47786,2015,5,22,142,"2015-05-22",38.92,13.74,0,22.49,5.07,30.22,30.22,94.12,4.04,-0.11,-124.69499784371,1.5718312639815,0.87658253836719,2.72393314458971,0.605927524510957,1.80025784147845,1.19433031696749,0.10220967898774,0.0625898,3.74,52.24,1,23.2694,3.25017347883775e-07,23.2693996749827,7.64944274630002,0.100657805096625,0.769976117054858,"Madrid, Spain"
"9",-3.70343,40.47786,2015,5,23,143,"2015-05-23",45.03,15.11,0,23.4,6.34,29.02,29.67,93.74,3.72,3.27,-105.929513685006,1.71746084569009,0.957350437369853,2.87813028475836,0.772410234753474,1.91774036106411,1.14533012631063,0.110470338636907,0.0623371,5.11,57.35,1,22.3454,3.06391028301932e-07,22.345399693609,7.29905602109433,0.100870254009445,0.736257634876956,"Madrid, Spain"
"10",-3.70343,40.47786,2015,5,24,144,"2015-05-24",47.32,16.65,0,24.16,8.08,22.15,-99,93.58,3.08,5.37,-99.8740255381642,1.89516533753027,1.07862795133082,3.01269397727097,0.895098923674521,2.04566096430089,1.15056204062637,0.120426655235529,0.0622307,6.65,64,1,17.0555,2.94371420121158e-07,17.0554997056286,6.14639773420718,0.101209257288997,0.622072349681886,"Madrid, Spain"
"11",-3.70343,40.47786,2015,5,25,145,"2015-05-25",47.33,18.43,0,25.85,10.24,22.33,-99,93.72,2.63,6.98,-100.458773204645,2.12045789863168,1.24785150784424,3.33174865855268,1.00048338118778,2.28980008319846,1.28931670201068,0.132873462059209,0.0623238,8.43,72.43,1,17.1941,2.85507317561102e-07,17.1940997144927,6.31569114620378,0.101752374448906,0.642636570412169,"Madrid, Spain"
"12",-3.70343,40.47786,2015,5,26,146,"2015-05-26",37.25,18.74,0,27.69,9.95,30.17,30.17,93.78,3.23,3.57,-132.763178962716,2.16200224998934,1.22385436511413,3.7122362903687,0.788973675640501,2.46804532774141,1.67907165210091,0.13514888237163,0.0623637,8.74,81.17,1,23.2309,3.08714247973265e-07,23.2308996912858,8.73821050146972,0.102465568540026,0.895365707055519,"Madrid, Spain"
"13",-3.70343,40.47786,2015,5,27,147,"2015-05-27",38.26,19.51,0,29.15,9.85,30.01,30.01,93.74,2.79,4.83,-129.507033391693,2.26828921657654,1.21567409909313,4.04053163433385,0.86201345043815,2.62810286671349,1.76608941627534,0.140943976596277,0.0623371,9.51,90.68,1,23.1077,3.01356553225219e-07,23.1076996986434,8.66525399391096,0.103436156586807,0.896300568978633,"Madrid, Spain"
"14",-3.70343,40.47786,2015,5,28,148,"2015-05-28",37.68,21.68,0,30.76,11.85,29.6,29.9,93.59,1.48,6.46,-132.541136959369,2.59279978129204,1.38875133440532,4.43157124199427,0.965310758236814,2.9101612881998,1.94485052996298,0.158419443147807,0.06223735,11.68,102.36,1,22.792,2.92289131910531e-07,22.7919997077109,8.01784845098768,0.104938916057041,0.841384325556275,"Madrid, Spain"
