"","Time","rTop","rRoot","vTop","vRoot","vBot","sum_rTop","sum_rRoot","sum_vTop","sum_vRoot","sum_vBot","hTop","hRoot","hBot","RunOff","sum_Runoff","Volume","sum_Infil","sum_Evap","TLevel","Cum_WTrans","SnowLayer","PhSeq","PhLeaf","Ksrs","Kcomp","Tact_eq_MA","Krs","sam","soil_type"
"1",-4.999,0,0,4.132e-06,0,-0.0038229,0,0,4.132e-09,0,-3.8229e-06,-200.03,0,-200,0,0,19.301,0,4.132e-09,1,0,0,0,0,0,0,0,0,3,"sandy loam"
"2",-4.998,0,0,-1.7865e-06,0,-0.0038229,0,0,2.3455e-09,0,-7.6458e-06,-200.05,0,-200,0,0,19.301,0,4.132e-09,2,0,0,0,0,0,0,0,0,3,"sandy loam"
"3",-4.9967,0,0,2.2643e-06,0,-0.0038229,0,0,5.2891e-09,0,-1.2616e-05,-200.09,0,-200,0,0,19.301,0,7.0756e-09,3,0,0,0,0,0,0,0,0,3,"sandy loam"
"4",-4.995,0,0,-1.9639e-06,0,-0.0038229,0,0,1.9701e-09,0,-1.9076e-05,-200.13,0,-200,0,0,19.301,0,7.0756e-09,4,0,0,0,0,0,0,0,0,3,"sandy loam"
"5",-4.9928,0,0,-1.8296e-06,0,-0.0038229,0,0,-2.0495e-09,0,-2.7475e-05,-200.18,0,-200,0,0,19.301,0,7.0756e-09,5,0,0,0,0,0,0,0,0,3,"sandy loam"
"6",-4.99,0,0,3.7882e-07,0,-0.0038229,0,0,-9.676e-10,0,-3.8394e-05,-200.24,0,-200,0,0,19.301,0,8.1575e-09,6,0,0,0,0,0,0,0,0,3,"sandy loam"
"7",-4.9864,0,0,-2.6776e-07,0,-0.0038229,0,0,-1.9084e-09,0,-5.1827e-05,-200.31,0,-200,0,0,19.301,0,8.1575e-09,7,0,0,0,0,0,0,0,0,3,"sandy loam"
"8",-4.9818,0,0,6.4378e-07,0,-0.0038229,0,0,1.1077e-09,0,-6.9737e-05,-200.4,0,-200,0,0,19.301,0,1.1174e-08,8,0,0,0,0,0,0,0,0,3,"sandy loam"
"9",-4.9759,0,0,-6.617e-07,0,-0.0038229,0,0,-2.7674e-09,0,-9.2125e-05,-200.49,0,-200,0,0,19.301,0,1.1174e-08,9,0,0,0,0,0,0,0,0,3,"sandy loam"
"10",-4.9671,0,0,1.0722e-07,0,-0.0038229,0,0,-1.8256e-09,0,-0.00012571,-200.61,0,-200,0,0,19.301,0,1.2115e-08,10,0,0,0,0,0,0,0,0,3,"sandy loam"
"11",-4.9583,0,0,7.6485e-08,0,-0.0038229,0,0,-1.1537e-09,0,-0.00015929,-200.72,0,-200,0,0,19.301,0,1.2787e-08,11,0,0,0,0,0,0,0,0,3,"sandy loam"
"12",-4.9583,0,0,7.8943e-05,0,-0.0038229,0,0,1.4775e-09,0,-0.00015942,-200.73,0,-200,0,0,19.301,0,1.5419e-08,12,0,0,0,0,0,0,0,0,3,"sandy loam"
"13",-4.9483,0,0,5.9605e-08,0,-0.0038229,0,0,2.0735e-09,0,-0.00019764,-200.82,0,-200,0,0,19.301,0,1.6015e-08,13,0,0,0,0,0,0,0,0,3,"sandy loam"
"14",-4.9383,0,0,-7.3691e-08,0,-0.0038229,0,0,1.3366e-09,0,-0.00023587,-200.94,0,-200,0,0,19.301,0,1.6015e-08,14,0,0,0,0,0,0,0,0,3,"sandy loam"
"15",-4.9283,0,0,-3.9465e-07,0,-0.0038229,0,0,-2.6099e-09,0,-0.0002741,-201.03,0,-200,0,0,19.301,0,1.6015e-08,15,0,0,0,0,0,0,0,0,3,"sandy loam"
"16",-4.9225,0,0,-3.5472e-07,0,-0.0038229,0,0,-4.6672e-09,0,-0.00029628,-201.08,0,-200,0,0,19.301,0,1.6015e-08,16,0,0,0,0,0,0,0,0,3,"sandy loam"
"17",-4.9167,0,0,-2.2224e-07,0,-0.0038229,0,0,-5.9562e-09,0,-0.00031845,-201.12,0,-200,0,0,19.301,0,1.6015e-08,17,0,0,0,0,0,0,0,0,3,"sandy loam"
"18",-4.9167,0,0,3.9625e-06,0,-0.0038229,0,0,-5.8241e-09,0,-0.00031858,-201.13,0,-200,0,0,19.301,0,1.6147e-08,18,0,0,0,0,0,0,0,0,3,"sandy loam"
"19",-4.9067,0,0,-1.3737e-07,0,-0.0038229,0,0,-7.1978e-09,0,-0.00035681,-201.2,0,-200,0,0,19.3,0,1.6147e-08,19,0,0,0,0,0,0,0,0,3,"sandy loam"
"20",-4.8967,0,0,1.0635e-07,0,-0.0038229,0,0,-6.1344e-09,0,-0.00039503,-201.27,0,-200,0,0,19.3,0,1.721e-08,20,0,0,0,0,0,0,0,0,3,"sandy loam"
"21",-4.8867,0,0,2.5285e-07,0,-0.0038229,0,0,-3.6058e-09,0,-0.00043326,-201.34,0,-200,0,0,19.3,0,1.9739e-08,21,0,0,0,0,0,0,0,0,3,"sandy loam"
"22",-4.8808,0,0,-3.7573e-07,0,-0.0038229,0,0,-5.7976e-09,0,-0.00045556,-201.38,0,-200,0,0,19.3,0,1.9739e-08,22,0,0,0,0,0,0,0,0,3,"sandy loam"
"23",-4.875,0,0,5.0862e-07,0,-0.0038229,0,0,-2.8307e-09,0,-0.00047786,-201.42,0,-200,0,0,19.3,0,2.2706e-08,23,0,0,0,0,0,0,0,0,3,"sandy loam"
"24",-4.865,0,0,-3.6129e-07,0,-0.0038229,0,0,-6.4436e-09,0,-0.00051609,-201.48,0,-200,0,0,19.3,0,2.2706e-08,24,0,0,0,0,0,0,0,0,3,"sandy loam"
"25",-4.855,0,0,-4.3539e-07,0,-0.0038229,0,0,-1.0798e-08,0,-0.00055432,-201.54,0,-200,0,0,19.3,0,2.2706e-08,25,0,0,0,0,0,0,0,0,3,"sandy loam"
"26",-4.845,0,0,-6.1817e-08,0,-0.0038229,0,0,-1.1416e-08,0,-0.00059255,-201.59,0,-200,0,0,19.3,0,2.2706e-08,26,0,0,0,0,0,0,0,0,3,"sandy loam"
"27",-4.8392,0,0,2.3074e-07,0,-0.0038229,0,0,-1.007e-08,0,-0.00061485,-201.62,0,-200,0,0,19.3,0,2.4052e-08,27,0,0,0,0,0,0,0,0,3,"sandy loam"
"28",-4.8333,0,0,5.6287e-08,0,-0.0038229,0,0,-9.7414e-09,0,-0.00063715,-201.66,0,-200,0,0,19.3,0,2.438e-08,28,0,0,0,0,0,0,0,0,3,"sandy loam"
"29",-4.8333,0,0,-7.1171e-05,0,-0.0038229,0,0,-1.2114e-08,0,-0.00063728,-201.66,0,-200,0,0,19.3,0,2.438e-08,29,0,0,0,0,0,0,0,0,3,"sandy loam"
"30",-4.8233,0,0,1.4593e-07,0,-0.0038229,0,0,-1.0654e-08,0,-0.00067551,-201.71,0,-200,0,0,19.3,0,2.5839e-08,30,0,0,0,0,0,0,0,0,3,"sandy loam"
"31",-4.8133,0,0,-2.6828e-07,0,-0.0038229,0,0,-1.3337e-08,0,-0.00071374,-201.76,0,-200,0,0,19.3,0,2.5839e-08,31,0,0,0,0,0,0,0,0,3,"sandy loam"
"32",-4.8033,0,0,-3.1706e-07,0,-0.0038229,0,0,-1.6508e-08,0,-0.00075197,-201.81,0,-200,0,0,19.3,0,2.5839e-08,32,0,0,0,0,0,0,0,0,3,"sandy loam"
"33",-4.7975,0,0,2.3586e-07,0,-0.0038229,0,0,-1.514e-08,0,-0.00077414,-201.84,0,-200,0,0,19.3,0,2.7207e-08,33,0,0,0,0,0,0,0,0,3,"sandy loam"
"34",-4.7917,0,0,2.0373e-07,0,-0.0038229,0,0,-1.3958e-08,0,-0.00079631,-201.86,0,-200,0,0,19.3,0,2.8389e-08,34,0,0,0,0,0,0,0,0,3,"sandy loam"
"35",-4.7917,0,0,1.4404e-05,0,-0.0038229,0,0,-1.3478e-08,0,-0.00079644,-201.86,0,-200,0,0,19.3,0,2.8869e-08,35,0,0,0,0,0,0,0,0,3,"sandy loam"
"36",-4.7817,0,0,-2.5204e-08,0,-0.0038229,0,0,-1.373e-08,0,-0.00083467,-201.91,0,-200,0,0,19.3,0,2.8869e-08,36,0,0,0,0,0,0,0,0,3,"sandy loam"
"37",-4.7717,0,0,-1.2544e-07,0,-0.0038229,0,0,-1.4984e-08,0,-0.0008729,-201.96,0,-200,0,0,19.3,0,2.8869e-08,37,0,0,0,0,0,0,0,0,3,"sandy loam"
